fov_id,FOV_score_max,FOV_score_top3,FOV_score_top5,num_tiles,num_tiles_above_T,top_tile_x,top_tile_y,top_tile_probability,is_positive_multihit_N1_T0.5,is_positive_multihit_N2_T0.5
2 (1).jpg,0.8464661240577698,0.7846667170524597,0.7529332637786865,63,7,1792,512,0.8464661240577698,True,True
2 (10).jpg,0.9146661162376404,0.8926277160644531,0.8685682415962219,63,33,1024,1530,0.9146661162376404,True,True
2 (11).jpg,0.8958322405815125,0.8927000164985657,0.8748305439949036,63,34,512,0,0.8958322405815125,True,True
2 (12).jpg,0.974478006362915,0.9480149745941162,0.938846230506897,63,42,1024,256,0.974478006362915,True,True
2 (13).jpg,0.9590407013893127,0.9497168064117432,0.9465171098709106,63,51,256,512,0.9590407013893127,True,True
2 (14).jpg,0.9837653040885925,0.977687656879425,0.9725548624992371,63,52,0,1530,0.9837653040885925,True,True
2 (15).jpg,0.9761992692947388,0.9747645258903503,0.9652175903320312,63,41,1792,768,0.9761992692947388,True,True
2 (16).jpg,0.9307607412338257,0.9081200957298279,0.883653461933136,63,32,1792,256,0.9307607412338257,True,True
2 (17).jpg,0.7945274114608765,0.7735622525215149,0.7543349266052246,63,12,0,256,0.7945274114608765,True,True
2 (18).jpg,0.9437832832336426,0.8874384760856628,0.854897677898407,63,18,1024,768,0.9437832832336426,True,True
2 (19).jpg,0.9494433403015137,0.8638500571250916,0.8239995837211609,63,14,0,256,0.9494433403015137,True,True
2 (2).jpg,0.6428954601287842,0.6374026536941528,0.5989022850990295,63,6,1280,768,0.6428954601287842,True,True
2 (20).jpg,0.9758541584014893,0.9685105681419373,0.951892077922821,63,20,0,512,0.9758541584014893,True,True
2 (3).jpg,0.8438191413879395,0.8025121688842773,0.7765213251113892,63,18,768,1280,0.8438191413879395,True,True
2 (4).jpg,0.9111258387565613,0.8613821864128113,0.7838404774665833,63,13,512,256,0.9111258387565613,True,True
2 (5).jpg,0.8384420275688171,0.8332225680351257,0.8204910159111023,63,22,1792,1024,0.8384420275688171,True,True
2 (6).jpg,0.9137760996818542,0.9031739234924316,0.8842859268188477,63,36,768,0,0.9137760996818542,True,True
2 (7).jpg,0.7171354293823242,0.6893541812896729,0.6504853367805481,63,7,1024,0,0.7171354293823242,True,True
2 (8).jpg,0.7810795903205872,0.7693470120429993,0.7624090909957886,63,22,1930,1024,0.7810795903205872,True,True
2 (9).jpg,0.8533722162246704,0.7811408042907715,0.7360401749610901,63,15,256,1024,0.8533722162246704,True,True
3 (1).jpg,0.9979871511459351,0.9972620010375977,0.9950305223464966,63,57,768,512,0.9979871511459351,True,True
3 (10).jpg,0.9359213709831238,0.8910760283470154,0.8758931159973145,63,31,768,1024,0.9359213709831238,True,True
3 (11).jpg,0.8649163246154785,0.8521795272827148,0.8350105285644531,63,18,1280,1280,0.8649163246154785,True,True
3 (12).jpg,0.9048380851745605,0.8057346940040588,0.7625975608825684,63,14,1024,1280,0.9048380851745605,True,True
3 (13).jpg,0.9496942162513733,0.9374585747718811,0.9050086736679077,63,26,512,1530,0.9496942162513733,True,True
3 (14).jpg,0.9716620445251465,0.9708847999572754,0.9458760023117065,63,16,768,512,0.9716620445251465,True,True
3 (15).jpg,0.9766733050346375,0.9445673823356628,0.9137881994247437,63,35,1280,768,0.9766733050346375,True,True
3 (16).jpg,0.9883076548576355,0.9836392402648926,0.9783884286880493,63,29,1280,0,0.9883076548576355,True,True
3 (17).jpg,0.9858568906784058,0.9810889363288879,0.9716142416000366,63,43,1024,1024,0.9858568906784058,True,True
3 (18).jpg,0.9878383874893188,0.9800806641578674,0.9680516123771667,63,34,1024,1280,0.9878383874893188,True,True
3 (19).jpg,0.9861093163490295,0.978344738483429,0.9727937579154968,63,24,256,1280,0.9861093163490295,True,True
3 (2).jpg,0.9969059824943542,0.9962118268013,0.9950116276741028,63,63,1024,1530,0.9969059824943542,True,True
3 (20).jpg,0.9943283200263977,0.9923945069313049,0.9771984219551086,63,37,1280,0,0.9943283200263977,True,True
3 (3).jpg,0.9065133333206177,0.8565928339958191,0.8370196223258972,63,32,512,1280,0.9065133333206177,True,True
3 (4).jpg,0.9772554039955139,0.9756650924682617,0.9679098129272461,63,32,768,768,0.9772554039955139,True,True
3 (5).jpg,0.9263439774513245,0.9055838584899902,0.8962360620498657,63,27,512,256,0.9263439774513245,True,True
3 (6).jpg,0.942163348197937,0.91483473777771,0.8996673822402954,63,27,1280,768,0.942163348197937,True,True
3 (7).jpg,0.9547971487045288,0.9345995783805847,0.9279488325119019,63,37,1280,256,0.9547971487045288,True,True
3 (8).jpg,0.9820098280906677,0.9717743992805481,0.964699923992157,63,25,256,1280,0.9820098280906677,True,True
3 (9).jpg,0.9376331567764282,0.9174754023551941,0.9001166224479675,63,31,0,512,0.9376331567764282,True,True
